Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR24843832,RNA-Seq,300,7106515500,PRJNA980719,SAMN35652622,2304396878,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608061,uncalculated,uncalculated,missing,NextSeq 500,GSM7462028,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:20:00Z,1,GSM7462028,esophageal tumor,SRP441399,Tumor
SRR24843833,RNA-Seq,300,6746598900,PRJNA980719,SAMN35652623,2170910677,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608060,uncalculated,uncalculated,missing,NextSeq 500,GSM7462027,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:13:00Z,1,GSM7462027,esophageal tissue,SRP441399,Non-tumor
SRR24843834,RNA-Seq,300,7493502000,PRJNA980719,SAMN35652624,2428332624,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608059,uncalculated,uncalculated,missing,NextSeq 500,GSM7462026,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:18:00Z,1,GSM7462026,esophageal tumor,SRP441399,Tumor
SRR24843835,RNA-Seq,300,5605120500,PRJNA980719,SAMN35652625,1820684686,NIH,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608058,uncalculated,uncalculated,missing,NextSeq 500,GSM7462025,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:07:00Z,1,GSM7462025,esophageal tissue,SRP441399,Non-tumor
SRR24843836,RNA-Seq,300,5038979100,PRJNA980719,SAMN35652626,1630837520,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608057,uncalculated,uncalculated,missing,NextSeq 500,GSM7462024,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:12:00Z,1,GSM7462024,esophageal tumor,SRP441399,Tumor
SRR24843837,RNA-Seq,300,7560530100,PRJNA980719,SAMN35652627,2455776018,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608056,uncalculated,uncalculated,missing,NextSeq 500,GSM7462023,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:12:00Z,1,GSM7462023,esophageal tissue,SRP441399,Non-tumor
SRR24843838,RNA-Seq,300,7287845400,PRJNA980719,SAMN35652628,2366766050,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608055,uncalculated,uncalculated,missing,NextSeq 500,GSM7462022,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:12:00Z,1,GSM7462022,esophageal tissue,SRP441399,Non-tumor
SRR24843839,RNA-Seq,300,5519436900,PRJNA980719,SAMN35652630,1786924416,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608054,uncalculated,uncalculated,missing,NextSeq 500,GSM7462020,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:07:00Z,1,GSM7462020,esophageal tumor,SRP441399,Tumor
SRR24843840,RNA-Seq,300,6650227500,PRJNA980719,SAMN35652631,2152030868,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608053,uncalculated,uncalculated,missing,NextSeq 500,GSM7462019,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:24:00Z,1,GSM7462019,esophageal tissue,SRP441399,Non-tumor
SRR24843841,RNA-Seq,300,6797931300,PRJNA980719,SAMN35652632,2201710652,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608052,uncalculated,uncalculated,missing,NextSeq 500,GSM7462018,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:07:00Z,1,GSM7462018,esophageal tumor,SRP441399,Tumor
SRR24843842,RNA-Seq,300,5780435700,PRJNA980719,SAMN35652640,1869555014,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608051,uncalculated,uncalculated,missing,NextSeq 500,GSM7462010,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:15:00Z,1,GSM7462010,esophageal tumor,SRP441399,Tumor
SRR24843843,RNA-Seq,300,3923384700,PRJNA980719,SAMN35652639,1282867781,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608050,uncalculated,uncalculated,missing,NextSeq 500,GSM7462011,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:08:00Z,1,GSM7462011,esophageal tumor,SRP441399,Tumor
SRR24843844,RNA-Seq,300,7909446600,PRJNA980719,SAMN35652638,2555529693,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608049,uncalculated,uncalculated,missing,NextSeq 500,GSM7462012,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:20:00Z,1,GSM7462012,esophageal tissue,SRP441399,Non-tumor
SRR24843845,RNA-Seq,300,7039731300,PRJNA980719,SAMN35652637,2265459619,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608048,uncalculated,uncalculated,missing,NextSeq 500,GSM7462013,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:18:00Z,1,GSM7462013,esophageal tissue,SRP441399,Barretts esophagus
SRR24843846,RNA-Seq,300,6824961000,PRJNA980719,SAMN35652636,2223226523,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608047,uncalculated,uncalculated,missing,NextSeq 500,GSM7462014,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:25:00Z,1,GSM7462014,esophageal tissue,SRP441399,Non-tumor
SRR24843847,RNA-Seq,300,7313452200,PRJNA980719,SAMN35652635,2376916475,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608046,uncalculated,uncalculated,missing,NextSeq 500,GSM7462015,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:11:00Z,1,GSM7462015,esophageal tumor,SRP441399,Tumor
SRR24843848,RNA-Seq,300,6710638200,PRJNA980719,SAMN35652634,2184253976,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608045,uncalculated,uncalculated,missing,NextSeq 500,GSM7462016,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:16:00Z,1,GSM7462016,esophageal tissue,SRP441399,Non-tumor
SRR24843849,RNA-Seq,300,5774781600,PRJNA980719,SAMN35652633,1878240002,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608044,uncalculated,uncalculated,missing,NextSeq 500,GSM7462017,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:16:00Z,1,GSM7462017,esophageal tissue,SRP441399,Non-tumor
SRR24843850,RNA-Seq,300,7069778700,PRJNA980719,SAMN35652644,2286740027,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608043,uncalculated,uncalculated,missing,NextSeq 500,GSM7462006,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:09:00Z,1,GSM7462006,esophageal tissue,SRP441399,Non-tumor
SRR24843851,RNA-Seq,300,6324324000,PRJNA980719,SAMN35652643,2043159706,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608042,uncalculated,uncalculated,missing,NextSeq 500,GSM7462007,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:07:00Z,1,GSM7462007,esophageal tissue,SRP441399,Non-tumor
SRR24843852,RNA-Seq,300,7191325500,PRJNA980719,SAMN35652642,2329967023,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608041,uncalculated,uncalculated,missing,NextSeq 500,GSM7462008,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:11:00Z,1,GSM7462008,esophageal tumor,SRP441399,Tumor
SRR24843853,RNA-Seq,300,7105123500,PRJNA980719,SAMN35652641,2297865174,NIH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20608040,uncalculated,uncalculated,missing,NextSeq 500,GSM7462009,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-02-07T00:00:00Z,2023-06-07T03:24:00Z,1,GSM7462009,esophageal tissue,SRP441399,Non-tumor
