Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tumor_or_normal
SRR8550610,RNA-Seq,202,21175946032,PRJNA521512,SAMN10891660,11736041657,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352524,GSM3595913,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:22:00Z,1,GSM3595913,gastric mucosa,SRP184693,adenocarcinoma
SRR8550614,RNA-Seq,202,13409600522,PRJNA521512,SAMN10891652,6531737226,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352528,GSM3595917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595917,gastric mucosa,SRP184693,adenocarcinoma
SRR8550618,RNA-Seq,202,12446576632,PRJNA521512,SAMN10891645,6166524190,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352532,GSM3595921,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595921,gastric mucosa,SRP184693,adenocarcinoma
SRR8550623,RNA-Seq,202,13395876440,PRJNA521512,SAMN10891636,6703856998,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352537,GSM3595926,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595926,gastric mucosa,SRP184693,paired normal
SRR8550626,RNA-Seq,202,16130073700,PRJNA521512,SAMN10891631,8921299058,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352540,GSM3595929,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595929,gastric mucosa,SRP184693,adenocarcinoma
SRR8550630,RNA-Seq,202,14678176682,PRJNA521512,SAMN10891613,7162563456,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352544,GSM3595933,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:00:00Z,1,GSM3595933,gastric mucosa,SRP184693,adenocarcinoma
SRR8550631,RNA-Seq,202,12190985224,PRJNA521512,SAMN10891625,6142761113,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352545,GSM3595934,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595934,gastric mucosa,SRP184693,paired normal
SRR8550632,RNA-Seq,202,13726808798,PRJNA521512,SAMN10891624,6773345666,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352546,GSM3595935,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:00:00Z,1,GSM3595935,gastric mucosa,SRP184693,adenocarcinoma
SRR8550633,RNA-Seq,202,12607774854,PRJNA521512,SAMN10891622,6164741708,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352547,GSM3595936,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595936,gastric mucosa,SRP184693,paired normal
SRR8550634,RNA-Seq,202,12653613502,PRJNA521512,SAMN10891619,6289888243,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352548,GSM3595937,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595937,gastric mucosa,SRP184693,adenocarcinoma
SRR8550635,RNA-Seq,202,10736253540,PRJNA521512,SAMN10891618,5523618560,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352549,GSM3595938,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:59:00Z,1,GSM3595938,gastric mucosa,SRP184693,paired normal
SRR8550642,RNA-Seq,202,12372752500,PRJNA521512,SAMN10891777,6356415605,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352556,GSM3595945,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595945,gastric mucosa,SRP184693,adenocarcinoma
SRR8550645,RNA-Seq,202,12930285630,PRJNA521512,SAMN10891773,6791722161,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352559,GSM3595948,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:03:00Z,1,GSM3595948,gastric mucosa,SRP184693,paired normal
SRR8550653,RNA-Seq,202,14929673752,PRJNA521512,SAMN10891761,7368129487,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352567,GSM3595956,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:02:00Z,1,GSM3595956,gastric mucosa,SRP184693,paired normal
SRR8550657,RNA-Seq,202,12287157424,PRJNA521512,SAMN10891755,6000377076,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352571,GSM3595960,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:59:00Z,1,GSM3595960,gastric mucosa,SRP184693,paired normal
SRR8550571,RNA-Seq,202,11155658666,PRJNA521512,SAMN10891746,5298291582,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352485,GSM3595874,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:52:00Z,1,GSM3595874,gastric mucosa,SRP184693,adenocarcinoma
SRR8550572,RNA-Seq,202,10716808616,PRJNA521512,SAMN10891744,5069310997,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352486,GSM3595875,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595875,gastric mucosa,SRP184693,paired normal
SRR8550573,RNA-Seq,202,11428892956,PRJNA521512,SAMN10891743,5382858217,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352487,GSM3595876,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595876,gastric mucosa,SRP184693,adenocarcinoma
SRR8550574,RNA-Seq,202,10854630388,PRJNA521512,SAMN10891741,5145572324,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352488,GSM3595877,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595877,gastric mucosa,SRP184693,paired normal
SRR8550576,RNA-Seq,202,12032274834,PRJNA521512,SAMN10891738,5819669694,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352490,GSM3595879,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595879,gastric mucosa,SRP184693,paired normal
SRR8550577,RNA-Seq,202,11264305780,PRJNA521512,SAMN10891737,5689231706,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352491,GSM3595880,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:54:00Z,1,GSM3595880,gastric mucosa,SRP184693,adenocarcinoma
SRR8550578,RNA-Seq,202,11521509552,PRJNA521512,SAMN10891735,5478522168,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352492,GSM3595881,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:54:00Z,1,GSM3595881,gastric mucosa,SRP184693,paired normal
SRR8550583,RNA-Seq,202,10463644238,PRJNA521512,SAMN10891872,4868446645,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352497,GSM3595886,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:52:00Z,1,GSM3595886,gastric mucosa,SRP184693,adenocarcinoma
SRR8550584,RNA-Seq,202,10673791302,PRJNA521512,SAMN10891870,4969463154,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352498,GSM3595887,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:54:00Z,1,GSM3595887,gastric mucosa,SRP184693,paired normal
SRR8550586,RNA-Seq,202,10049880568,PRJNA521512,SAMN10891867,4878367154,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352500,GSM3595889,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595889,gastric mucosa,SRP184693,paired normal
SRR8550587,RNA-Seq,202,10268023398,PRJNA521512,SAMN10891865,5079624628,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352501,GSM3595890,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:54:00Z,1,GSM3595890,gastric mucosa,SRP184693,adenocarcinoma
SRR8550588,RNA-Seq,202,12074532830,PRJNA521512,SAMN10891864,5742069381,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352502,GSM3595891,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595891,gastric mucosa,SRP184693,paired normal
SRR8550590,RNA-Seq,202,11182880388,PRJNA521512,SAMN10891860,5316473659,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352504,GSM3595893,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595893,gastric mucosa,SRP184693,paired normal
SRR8550591,RNA-Seq,202,11316389662,PRJNA521512,SAMN10891859,5396961313,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352505,GSM3595894,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595894,gastric mucosa,SRP184693,adenocarcinoma
SRR8550592,RNA-Seq,202,10152334766,PRJNA521512,SAMN10891857,5025746784,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352506,GSM3595895,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595895,gastric mucosa,SRP184693,paired normal
SRR8550594,RNA-Seq,202,11020593184,PRJNA521512,SAMN10891854,5408694007,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352508,GSM3595897,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595897,gastric mucosa,SRP184693,paired normal
SRR8550595,RNA-Seq,202,10084313690,PRJNA521512,SAMN10891852,5056853457,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352509,GSM3595898,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595898,gastric mucosa,SRP184693,adenocarcinoma
SRR8550596,RNA-Seq,202,10445388690,PRJNA521512,SAMN10891851,5200485506,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352510,GSM3595899,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595899,gastric mucosa,SRP184693,paired normal
SRR8550597,RNA-Seq,202,10806255226,PRJNA521512,SAMN10891849,5266311279,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352511,GSM3595900,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595900,gastric mucosa,SRP184693,adenocarcinoma
SRR8550599,RNA-Seq,202,11730982138,PRJNA521512,SAMN10891846,6084335614,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352513,GSM3595902,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595902,gastric mucosa,SRP184693,adenocarcinoma
SRR8550600,RNA-Seq,202,10459037426,PRJNA521512,SAMN10891845,5181412337,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352514,GSM3595903,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595903,gastric mucosa,SRP184693,paired normal
SRR8550601,RNA-Seq,202,10286269856,PRJNA521512,SAMN10891526,5060507797,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352515,GSM3595904,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595904,gastric mucosa,SRP184693,adenocarcinoma
SRR8550602,RNA-Seq,202,10714711048,PRJNA521512,SAMN10891673,5370977693,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352516,GSM3595905,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:56:00Z,1,GSM3595905,gastric mucosa,SRP184693,paired normal
SRR8550603,RNA-Seq,202,14452581668,PRJNA521512,SAMN10891671,7136138745,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352517,GSM3595906,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:59:00Z,1,GSM3595906,gastric mucosa,SRP184693,paired normal
SRR8550604,RNA-Seq,202,15890118304,PRJNA521512,SAMN10891669,7741030920,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352518,GSM3595907,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:00:00Z,1,GSM3595907,gastric mucosa,SRP184693,adenocarcinoma
SRR8550605,RNA-Seq,202,13656118292,PRJNA521512,SAMN10891668,6712752417,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352519,GSM3595908,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:06:00Z,1,GSM3595908,gastric mucosa,SRP184693,paired normal
SRR8550607,RNA-Seq,202,13705105716,PRJNA521512,SAMN10891665,6899249485,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352521,GSM3595910,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595910,gastric mucosa,SRP184693,paired normal
SRR8550608,RNA-Seq,202,14652128580,PRJNA521512,SAMN10891663,8047463573,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352522,GSM3595911,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:07:00Z,1,GSM3595911,gastric mucosa,SRP184693,adenocarcinoma
SRR8550609,RNA-Seq,202,11978208524,PRJNA521512,SAMN10891662,5956108639,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352523,GSM3595912,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:06:00Z,1,GSM3595912,gastric mucosa,SRP184693,paired normal
SRR8550611,RNA-Seq,202,11861906418,PRJNA521512,SAMN10891659,5812934326,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352525,GSM3595914,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:54:00Z,1,GSM3595914,gastric mucosa,SRP184693,paired normal
SRR8550612,RNA-Seq,202,12628785278,PRJNA521512,SAMN10891655,6206805779,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352526,GSM3595915,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:53:00Z,1,GSM3595915,gastric mucosa,SRP184693,adenocarcinoma
SRR8550613,RNA-Seq,202,12637132322,PRJNA521512,SAMN10891654,6193417428,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352527,GSM3595916,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:55:00Z,1,GSM3595916,gastric mucosa,SRP184693,paired normal
SRR8550615,RNA-Seq,202,13727712748,PRJNA521512,SAMN10891651,6702534330,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352529,GSM3595918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595918,gastric mucosa,SRP184693,paired normal
SRR8550616,RNA-Seq,202,13977555640,PRJNA521512,SAMN10891649,7722031157,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352530,GSM3595919,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T12:01:00Z,1,GSM3595919,gastric mucosa,SRP184693,adenocarcinoma
SRR8550617,RNA-Seq,202,13147619652,PRJNA521512,SAMN10891646,7235900547,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352531,GSM3595920,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:57:00Z,1,GSM3595920,gastric mucosa,SRP184693,paired normal
SRR8550619,RNA-Seq,202,13540072524,PRJNA521512,SAMN10891643,6576429480,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5352533,GSM3595922,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2019-02-08T11:58:00Z,1,GSM3595922,gastric mucosa,SRP184693,paired normal
