Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR21609200,RNA-Seq,299,12582525595,PRJNA881354,SAMN30901523,3857608925,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610321,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589237,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T11:27:00Z,1,GSM6589237,esophagus tissue,SRP397724,esophagus tissue
SRR21609201,RNA-Seq,299,8868403430,PRJNA881354,SAMN30901524,2856098749,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610320,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589236,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T09:23:00Z,1,GSM6589236,esophagus tissue,SRP397724,esophagus tissue
SRR21609202,RNA-Seq,299,8585628800,PRJNA881354,SAMN30901525,2815221189,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610319,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589235,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T09:04:00Z,1,GSM6589235,esophagus tissue,SRP397724,esophagus tissue
SRR21609203,RNA-Seq,299,9720309238,PRJNA881354,SAMN30901526,3199177223,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610318,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589234,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:13:00Z,1,GSM6589234,esophagus tissue,SRP397724,esophagus tissue
SRR21609204,RNA-Seq,299,7962960302,PRJNA881354,SAMN30901527,2587940503,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610317,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589233,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:19:00Z,1,GSM6589233,esophagus tissue,SRP397724,esophagus tissue
SRR21609205,RNA-Seq,299,7811376352,PRJNA881354,SAMN30901528,2554583471,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610316,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589232,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T08:54:00Z,1,GSM6589232,esophagus tissue,SRP397724,esophagus tissue
SRR21609206,RNA-Seq,299,14377774182,PRJNA881354,SAMN30901529,4380045067,tumor,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610315,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589231,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:44:00Z,1,GSM6589231,esophagus tissue,SRP397724,esophagus tissue
SRR21609207,RNA-Seq,299,11543699031,PRJNA881354,SAMN30901530,3556651556,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610314,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589230,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:24:00Z,1,GSM6589230,esophagus tissue,SRP397724,esophagus tissue
SRR21609208,RNA-Seq,299,11981203659,PRJNA881354,SAMN30901531,3655605608,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610313,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589229,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:33:00Z,1,GSM6589229,esophagus tissue,SRP397724,esophagus tissue
SRR21609209,RNA-Seq,299,13109760262,PRJNA881354,SAMN30901532,3992493822,adjacent normal,FUDAN UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Early Esophageal Squamous Cell Carcinoma,SRX17610312,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM6589228,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-09T00:00:00Z,2022-09-17T10:11:00Z,1,GSM6589228,esophagus tissue,SRP397724,esophagus tissue
