Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,intentional_duplicate (run),Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR19992729,RNA-Seq,GRCH38.P7,76,2137414956,PRJNA855976,SAMN29512370,392441132,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033912,NextSeq 500,,GSM6294167,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:19:00Z,1,GSM6294167,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992730,RNA-Seq,GRCH38.P7,76,1830782924,PRJNA855976,SAMN29512371,312962802,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033911,NextSeq 500,,GSM6294166,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294166,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992731,RNA-Seq,GRCH38.P7,76,2879401208,PRJNA855976,SAMN29512372,522040518,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033910,NextSeq 500,,GSM6294165,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:13:00Z,1,GSM6294165,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992732,RNA-Seq,GRCH38.P7,76,1959960960,PRJNA855976,SAMN29512373,345630400,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033909,NextSeq 500,,GSM6294164,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294164,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992733,RNA-Seq,GRCH38.P7,76,1943333604,PRJNA855976,SAMN29512374,346808857,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033908,NextSeq 500,,GSM6294163,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:13:00Z,1,GSM6294163,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992734,RNA-Seq,GRCH38.P7,76,2012444508,PRJNA855976,SAMN29512375,363703106,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033907,NextSeq 500,,GSM6294162,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294162,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992735,RNA-Seq,GRCH38.P7,76,1938530176,PRJNA855976,SAMN29512376,351745801,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033906,NextSeq 500,,GSM6294161,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:14:00Z,1,GSM6294161,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992736,RNA-Seq,GRCH38.P7,76,2090722000,PRJNA855976,SAMN29512377,369193494,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033905,NextSeq 500,,GSM6294160,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294160,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992737,RNA-Seq,GRCH38.P7,76,2437107352,PRJNA855976,SAMN29512378,424881772,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033904,NextSeq 500,,GSM6294159,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294159,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992738,RNA-Seq,GRCH38.P7,76,2199403444,PRJNA855976,SAMN29512379,386224869,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033903,NextSeq 500,,GSM6294158,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:20:00Z,1,GSM6294158,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992739,RNA-Seq,GRCH38.P7,76,1765730648,PRJNA855976,SAMN29512380,315573445,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033902,NextSeq 500,,GSM6294157,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:19:00Z,1,GSM6294157,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992740,RNA-Seq,GRCH38.P7,76,1847947068,PRJNA855976,SAMN29512381,315390806,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033901,NextSeq 500,,GSM6294156,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294156,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992741,RNA-Seq,GRCH38.P7,76,2076371984,PRJNA855976,SAMN29512382,372033302,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033900,NextSeq 500,,GSM6294155,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294155,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992742,RNA-Seq,GRCH38.P7,76,1866436348,PRJNA855976,SAMN29512383,333109264,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033899,NextSeq 500,,GSM6294154,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294154,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992743,RNA-Seq,GRCH38.P7,76,1939232112,PRJNA855976,SAMN29512384,343864614,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033898,NextSeq 500,,GSM6294153,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:13:00Z,1,GSM6294153,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992744,RNA-Seq,GRCH38.P7,76,1763584788,PRJNA855976,SAMN29512385,315150284,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033897,NextSeq 500,,GSM6294152,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:09:00Z,1,GSM6294152,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992745,RNA-Seq,GRCH38.P7,76,2072827572,PRJNA855976,SAMN29512386,375544934,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033896,NextSeq 500,,GSM6294151,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:10:00Z,1,GSM6294151,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992746,RNA-Seq,GRCH38.P7,76,1841627592,PRJNA855976,SAMN29512387,334031226,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033895,NextSeq 500,,GSM6294150,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:34:00Z,1,GSM6294150,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992747,RNA-Seq,GRCH38.P7,76,1799121628,PRJNA855976,SAMN29512388,317524102,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033894,NextSeq 500,,GSM6294149,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:40:00Z,1,GSM6294149,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992748,RNA-Seq,GRCH38.P7,76,1977734852,PRJNA855976,SAMN29512389,341421867,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033893,NextSeq 500,,GSM6294148,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:14:00Z,1,GSM6294148,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992749,RNA-Seq,GRCH38.P7,76,1818463476,PRJNA855976,SAMN29512390,317397261,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033892,NextSeq 500,,GSM6294147,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294147,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992750,RNA-Seq,GRCH38.P7,76,1668431800,PRJNA855976,SAMN29512391,289596054,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033891,NextSeq 500,,GSM6294146,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:10:00Z,1,GSM6294146,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992751,RNA-Seq,GRCH38.P7,76,2813844520,PRJNA855976,SAMN29512392,502363095,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033890,NextSeq 500,,GSM6294145,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:16:00Z,1,GSM6294145,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992752,RNA-Seq,GRCH38.P7,76,1813410312,PRJNA855976,SAMN29512393,324799422,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033889,NextSeq 500,,GSM6294144,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:41:00Z,1,GSM6294144,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992753,RNA-Seq,GRCH38.P7,76,1838462268,PRJNA855976,SAMN29512394,320992132,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033888,NextSeq 500,,GSM6294143,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:40:00Z,1,GSM6294143,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992754,RNA-Seq,GRCH38.P7,76,1891746172,PRJNA855976,SAMN29512395,344764806,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033887,NextSeq 500,,GSM6294142,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:12:00Z,1,GSM6294142,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992755,RNA-Seq,GRCH38.P7,76,1733669364,PRJNA855976,SAMN29512396,301792755,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033886,NextSeq 500,,GSM6294141,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:39:00Z,1,GSM6294141,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992756,RNA-Seq,GRCH38.P7,76,1753625368,PRJNA855976,SAMN29512397,299201170,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033885,NextSeq 500,,GSM6294140,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:09:00Z,1,GSM6294140,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992757,RNA-Seq,GRCH38.P7,76,1765905752,PRJNA855976,SAMN29512398,296058273,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033884,NextSeq 500,,GSM6294139,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:40:00Z,1,GSM6294139,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992758,RNA-Seq,GRCH38.P7,76,1594694016,PRJNA855976,SAMN29512399,282220157,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033883,NextSeq 500,,GSM6294138,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:41:00Z,1,GSM6294138,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992759,RNA-Seq,GRCH38.P7,76,1707696972,PRJNA855976,SAMN29512400,297576668,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033882,NextSeq 500,,GSM6294137,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:40:00Z,1,GSM6294137,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992760,RNA-Seq,GRCH38.P7,76,2222088456,PRJNA855976,SAMN29512401,385775940,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033881,NextSeq 500,,GSM6294136,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:44:00Z,1,GSM6294136,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992761,RNA-Seq,GRCH38.P7,76,1526817732,PRJNA855976,SAMN29512402,266219445,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033880,NextSeq 500,,GSM6294135,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:40:00Z,1,GSM6294135,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992762,RNA-Seq,GRCH38.P7,76,1758592804,PRJNA855976,SAMN29512403,304356740,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033879,NextSeq 500,,GSM6294134,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294134,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
SRR19992763,RNA-Seq,GRCH38.P7,76,1559677548,PRJNA855976,SAMN29512404,275730049,"CEMM KRISHNADATH, GASTROENTEROLOGY, ACADEMIC MEDICAL CENTRE AMSTERDAM",public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16033878,NextSeq 500,,GSM6294133,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-08T00:00:00Z,2022-07-05T21:11:00Z,1,GSM6294133,esophageal adenocarcinoma,SRP385004,esophageal adenocarcinoma,untreated
