Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,source_name,SRA Study,tissue_type
SRR8931998,RNA-Seq,202,8455059258,PRJNA533799,SAMN11467201,5684219834,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712739,GSM3731545,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:43:00Z,1,GSM3731545,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8931999,RNA-Seq,202,7547482146,PRJNA533799,SAMN11467200,5076859591,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712740,GSM3731546,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:38:00Z,1,GSM3731546,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932000,RNA-Seq,202,8136243062,PRJNA533799,SAMN11467199,5529228424,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712741,GSM3731547,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:38:00Z,1,GSM3731547,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8932001,RNA-Seq,202,7898539158,PRJNA533799,SAMN11467198,4468647504,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712742,GSM3731548,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:41:00Z,1,GSM3731548,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932002,RNA-Seq,202,7965739912,PRJNA533799,SAMN11467197,4512401648,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712743,GSM3731549,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:44:00Z,1,GSM3731549,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8932003,RNA-Seq,202,7731336688,PRJNA533799,SAMN11467196,4364026151,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712744,GSM3731550,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:38:00Z,1,GSM3731550,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932004,RNA-Seq,202,8946863406,PRJNA533799,SAMN11467195,4998182251,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712745,GSM3731551,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:42:00Z,1,GSM3731551,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8932005,RNA-Seq,202,8820622294,PRJNA533799,SAMN11467194,4976966721,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712746,GSM3731552,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:39:00Z,1,GSM3731552,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932006,RNA-Seq,202,9446223364,PRJNA533799,SAMN11467193,5340412534,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712747,GSM3731553,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:39:00Z,1,GSM3731553,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8932007,RNA-Seq,202,9320017602,PRJNA533799,SAMN11467192,5008873331,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712748,GSM3731554,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:39:00Z,1,GSM3731554,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932008,RNA-Seq,202,9055450324,PRJNA533799,SAMN11467191,4748203346,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712749,GSM3731555,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:40:00Z,1,GSM3731555,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8932009,RNA-Seq,202,9999910616,PRJNA533799,SAMN11467224,5141425234,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712750,GSM3731556,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:45:00Z,1,GSM3731556,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932010,RNA-Seq,202,8130065094,PRJNA533799,SAMN11467223,4191060807,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712751,GSM3731557,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:41:00Z,1,GSM3731557,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR8932011,RNA-Seq,202,8929573216,PRJNA533799,SAMN11467222,5038274084,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712752,GSM3731558,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:42:00Z,1,GSM3731558,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR8932012,RNA-Seq,202,10508678522,PRJNA533799,SAMN11467221,5890321298,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5712753,GSM3731559,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-04-19T14:43:00Z,1,GSM3731559,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173245,RNA-Seq,202,8245201458,PRJNA533799,SAMN12828211,4142319993,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894900,GSM4094341,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:16:00Z,1,GSM4094341,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173246,RNA-Seq,202,7236006226,PRJNA533799,SAMN12828210,4020275969,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894901,GSM4094342,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:03:00Z,1,GSM4094342,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173247,RNA-Seq,202,6886854074,PRJNA533799,SAMN12828241,3502400021,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894902,GSM4094343,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:57:00Z,1,GSM4094343,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173248,RNA-Seq,202,6682809430,PRJNA533799,SAMN12828240,3445773630,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894903,GSM4094344,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:03:00Z,1,GSM4094344,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173249,RNA-Seq,202,6984377452,PRJNA533799,SAMN12828236,3563133111,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894904,GSM4094345,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:03:00Z,1,GSM4094345,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173251,RNA-Seq,202,6626240138,PRJNA533799,SAMN12828234,3401621901,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894906,GSM4094347,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:56:00Z,1,GSM4094347,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173252,RNA-Seq,202,6870277146,PRJNA533799,SAMN12828239,3686624610,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894907,GSM4094348,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:57:00Z,1,GSM4094348,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173253,RNA-Seq,202,6585352308,PRJNA533799,SAMN12828238,3559718796,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894908,GSM4094349,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:58:00Z,1,GSM4094349,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173254,RNA-Seq,202,6563529642,PRJNA533799,SAMN12828237,3396933830,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894909,GSM4094350,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:07:00Z,1,GSM4094350,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173255,RNA-Seq,202,6740870088,PRJNA533799,SAMN12828226,3772474902,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894910,GSM4094351,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:56:00Z,1,GSM4094351,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173256,RNA-Seq,202,6499359696,PRJNA533799,SAMN12828225,3491896997,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894911,GSM4094352,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:56:00Z,1,GSM4094352,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173257,RNA-Seq,202,6542993918,PRJNA533799,SAMN12828224,3623421871,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894912,GSM4094353,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:56:00Z,1,GSM4094353,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173258,RNA-Seq,202,8150743430,PRJNA533799,SAMN12828223,4165688103,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894913,GSM4094354,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:07:00Z,1,GSM4094354,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173259,RNA-Seq,202,7030409818,PRJNA533799,SAMN12828222,3787094622,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894914,GSM4094355,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:05:00Z,1,GSM4094355,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173260,RNA-Seq,202,6869411778,PRJNA533799,SAMN12828221,3852260458,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894915,GSM4094356,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:58:00Z,1,GSM4094356,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173261,RNA-Seq,202,8840405972,PRJNA533799,SAMN12828233,5125169693,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894916,GSM4094357,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:15:00Z,1,GSM4094357,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173262,RNA-Seq,202,6889700052,PRJNA533799,SAMN12828232,3547759199,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894917,GSM4094358,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:58:00Z,1,GSM4094358,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173263,RNA-Seq,202,6222283366,PRJNA533799,SAMN12828231,3458547590,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894918,GSM4094359,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:57:00Z,1,GSM4094359,normal,ESCC adjacent normal tissue,SRP193095,ESCC
SRR10173264,RNA-Seq,202,6787511484,PRJNA533799,SAMN12828230,3886418614,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894919,GSM4094360,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T11:58:00Z,1,GSM4094360,cancer,ESCC tumor tissue,SRP193095,ESCC
SRR10173250,RNA-Seq,202,7103180722,PRJNA533799,SAMN12828235,3904376132,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6894905,GSM4094346,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,2019-09-24T12:02:00Z,1,GSM4094346,cancer,ESCC tumor tissue,SRP193095,ESCC
